posicao,modelo,marca,vendas,vendas_totais,percentual_marca
1,FIAT STRADA,FIAT,144684,508986,21.88
5,FIAT ARGO,FIAT,91139,508986,21.88
9,FIAT MOBI,FIAT,67382,508986,21.88
16,FIAT TORO,FIAT,53856,508986,21.88
20,FIAT FASTBACK,FIAT,48246,508986,21.88
22,FIAT CRONOS,FIAT,44392,508986,21.88
23,FIAT PULSE,FIAT,39079,508986,21.88
41,FIAT FIORINO,FIAT,20208,508986,21.88
2,VOLKSWAGEN POLO,VOLKSWAGEN,140177,394338,16.95
6,VOLKSWAGEN T-CROSS,VOLKSWAGEN,83990,394338,16.95
13,VOLKSWAGEN SAVEIRO,VOLKSWAGEN,56984,394338,16.95
14,VOLKSWAGEN NIVUS,VOLKSWAGEN,55924,394338,16.95
26,VOLKSWAGEN VIRTUS,VOLKSWAGEN,32366,394338,16.95
45,VOLKSWAGEN TAOS,VOLKSWAGEN,17569,394338,16.95
59,VOLKSWAGEN AMAROK,VOLKSWAGEN,7328,394338,16.95
3,CHEVROLET ONIX,CHEVROLET,97503,306973,13.19
7,CHEVROLET TRACKER,CHEVROLET,69431,306973,13.19
11,CHEVROLET ONIX PLUS,CHEVROLET,59960,306973,13.19
29,CHEVROLET MONTANA,CHEVROLET,27724,306973,13.19
31,CHEVROLET S10,CHEVROLET,27402,306973,13.19
33,CHEVROLET SPIN,CHEVROLET,24953,306973,13.19
4,HYUNDAI HB20,HYUNDAI,97079,203532,8.75
8,HYUNDAI CRETA,HYUNDAI,69116,203532,8.75
25,HYUNDAI HB20S,HYUNDAI,37337,203532,8.75
10,NISSAN KICKS,NISSAN,60455,81341,3.5
51,NISSAN VERSA,NISSAN,11628,81341,3.5
55,NISSAN FRONTIER,NISSAN,9258,81341,3.5
12,RENAULT KWID,RENAULT,57241,126441,5.43
34,RENAULT KARDIAN,RENAULT,24447,126441,5.43
40,RENAULT DUSTER,RENAULT,20702,126441,5.43
50,RENAULT OROCH,RENAULT,12883,126441,5.43
52,RENAULT MASTER,RENAULT,11168,126441,5.43
15,JEEP RENEGADE,JEEP,53896,120696,5.19
18,JEEP COMPASS,JEEP,50055,120696,5.19
46,JEEP COMMANDER,JEEP,16745,120696,5.19
17,HONDA HR-V,HONDA,50375,88133,3.79
47,HONDA CITY SEDAN,HONDA,16368,88133,3.79
48,HONDA CITY HATCH,HONDA,15473,88133,3.79
61,HONDA ZR-V,HONDA,5917,88133,3.79
19,TOYOTA HILUX,TOYOTA,50010,201187,8.65
21,TOYOTA COROLLA CROSS,TOYOTA,47796,201187,8.65
24,TOYOTA COROLLA,TOYOTA,37668,201187,8.65
32,TOYOTA YARIS HB,TOYOTA,25964,201187,8.65
38,TOYOTA YARIS SEDAN,TOYOTA,21934,201187,8.65
43,TOYOTA HILUX SW4,TOYOTA,17815,201187,8.65
27,FORD RANGER,FORD,31860,37491,1.61
62,FORD TERRITORY,FORD,5631,37491,1.61
28,CAOA CHERY TIGGO 7,CAOA CHERY,30896,60805,2.61
42,CAOA CHERY TIGGO 5X,CAOA CHERY,20159,60805,2.61
54,CAOA CHERY TIGGO 8,CAOA CHERY,9750,60805,2.61
30,BYD SONG,BYD,27689,69771,3.0
37,BYD DOLPHIN MINI,BYD,21946,69771,3.0
49,BYD DOLPHIN,BYD,15201,69771,3.0
63,BYD KING,BYD,4935,69771,3.0
35,RAM RAMPAGE,RAM,23619,23619,1.02
36,GWM HAVAL H6,GWM,22892,29218,1.26
60,GWM ORA 03,GWM,6326,29218,1.26
39,CITROﾃ起 C3,CITROﾃ起,21080,29364,1.26
57,CITROﾃ起 C3 AIRCROSS,CITROﾃ起,8284,29364,1.26
44,PEUGEOT 208,PEUGEOT,17709,25580,1.1
58,PEUGEOT 2008,PEUGEOT,7871,25580,1.1
53,MITSUBISHI L200,MITSUBISHI,10982,19281,0.83
56,MITSUBISHI ECLIPSE CROSS,MITSUBISHI,8299,19281,0.83
